Instrument,Date,Time,Open,High,Low,Close
Banknifty,01-01-2000,0:00:00,1000,1000,1000,1000
Banknifty,03-01-2000,0:00:00,1054.81,1054.81,1054.81,1054.81
Banknifty,04-01-2000,0:00:00,1092.08,1092.08,1092.08,1092.08
Banknifty,05-01-2000,0:00:00,1055.99,1055.99,1055.99,1055.99
Banknifty,06-01-2000,0:00:00,1086.67,1086.67,1086.67,1086.67
Banknifty,07-01-2000,0:00:00,1126.99,1126.99,1126.99,1126.99
Banknifty,10-01-2000,0:00:00,1088.97,1088.97,1088.97,1088.97
Banknifty,11-01-2000,0:00:00,1033.55,1033.55,1033.55,1033.55
Banknifty,12-01-2000,0:00:00,1036.63,1036.63,1036.63,1036.63
Banknifty,13-01-2000,0:00:00,1034.19,1034.19,1034.19,1034.19
Banknifty,14-01-2000,0:00:00,1023.41,1023.41,1023.41,1023.41
Banknifty,17-01-2000,0:00:00,1035.99,1035.99,1035.99,1035.99
Banknifty,18-01-2000,0:00:00,1021.69,1021.69,1021.69,1021.69
Banknifty,19-01-2000,0:00:00,1057.89,1057.89,1057.89,1057.89
Banknifty,20-01-2000,0:00:00,1046.31,1046.31,1046.31,1046.31
Banknifty,21-01-2000,0:00:00,1058.91,1058.91,1058.91,1058.91
Banknifty,24-01-2000,0:00:00,1049.82,1049.82,1049.82,1049.82
Banknifty,25-01-2000,0:00:00,1061.59,1061.59,1061.59,1061.59
Banknifty,27-01-2000,0:00:00,1096.45,1096.45,1096.45,1096.45
Banknifty,28-01-2000,0:00:00,1153.34,1153.34,1153.34,1153.34
Banknifty,31-01-2000,0:00:00,1148.89,1148.89,1148.89,1148.89
Banknifty,01-02-2000,0:00:00,1175.15,1175.15,1175.15,1175.15
Banknifty,02-02-2000,0:00:00,1186.97,1186.97,1186.97,1186.97
Banknifty,03-02-2000,0:00:00,1185.1,1185.1,1185.1,1185.1
Banknifty,04-02-2000,0:00:00,1172.21,1172.21,1172.21,1172.21
Banknifty,07-02-2000,0:00:00,1158.08,1158.08,1158.08,1158.08
Banknifty,08-02-2000,0:00:00,1150.2,1150.2,1150.2,1150.2
Banknifty,09-02-2000,0:00:00,1154.25,1154.25,1154.25,1154.25
Banknifty,10-02-2000,0:00:00,1181.48,1181.48,1181.48,1181.48
Banknifty,11-02-2000,0:00:00,1156.67,1156.67,1156.67,1156.67
Banknifty,14-02-2000,0:00:00,1212.66,1212.66,1212.66,1212.66
Banknifty,15-02-2000,0:00:00,1148.09,1148.09,1148.09,1148.09
Banknifty,16-02-2000,0:00:00,1167.64,1167.64,1167.64,1167.64
Banknifty,17-02-2000,0:00:00,1178.51,1178.51,1178.51,1178.51
Banknifty,18-02-2000,0:00:00,1151.56,1151.56,1151.56,1151.56
Banknifty,21-02-2000,0:00:00,1142.8,1142.8,1142.8,1142.8
Banknifty,22-02-2000,0:00:00,1091.48,1091.48,1091.48,1091.48
Banknifty,23-02-2000,0:00:00,1092.84,1092.84,1092.84,1092.84
Banknifty,24-02-2000,0:00:00,1103.9,1103.9,1103.9,1103.9
Banknifty,25-02-2000,0:00:00,1109.38,1109.38,1109.38,1109.38
Banknifty,28-02-2000,0:00:00,1141.18,1141.18,1141.18,1141.18
Banknifty,29-02-2000,0:00:00,1075.15,1075.15,1075.15,1075.15
Banknifty,01-03-2000,0:00:00,1139.88,1139.88,1139.88,1139.88
Banknifty,02-03-2000,0:00:00,1141.08,1141.08,1141.08,1141.08
Banknifty,03-03-2000,0:00:00,1124.7,1124.7,1124.7,1124.7
Banknifty,06-03-2000,0:00:00,1126.58,1126.58,1126.58,1126.58
Banknifty,07-03-2000,0:00:00,1104.42,1104.42,1104.42,1104.42
Banknifty,08-03-2000,0:00:00,1057.46,1057.46,1057.46,1057.46
Banknifty,09-03-2000,0:00:00,1004.31,1004.31,1004.31,1004.31
Banknifty,10-03-2000,0:00:00,987.88,987.88,987.88,987.88
Banknifty,13-03-2000,0:00:00,978.64,978.64,978.64,978.64
Banknifty,14-03-2000,0:00:00,996.36,996.36,996.36,996.36
Banknifty,15-03-2000,0:00:00,1027.61,1027.61,1027.61,1027.61
Banknifty,16-03-2000,0:00:00,1055.35,1055.35,1055.35,1055.35
Banknifty,21-03-2000,0:00:00,1074.75,1074.75,1074.75,1074.75
Banknifty,22-03-2000,0:00:00,1088.21,1088.21,1088.21,1088.21
Banknifty,23-03-2000,0:00:00,1086.02,1086.02,1086.02,1086.02
Banknifty,24-03-2000,0:00:00,1086.32,1086.32,1086.32,1086.32
Banknifty,27-03-2000,0:00:00,1071.08,1071.08,1071.08,1071.08
Banknifty,28-03-2000,0:00:00,1071.17,1071.17,1071.17,1071.17
Banknifty,29-03-2000,0:00:00,1070.13,1070.13,1070.13,1070.13
Banknifty,30-03-2000,0:00:00,1101.06,1101.06,1101.06,1101.06
Banknifty,31-03-2000,0:00:00,1106.83,1106.83,1106.83,1106.83
Banknifty,03-04-2000,0:00:00,1110.14,1110.14,1110.14,1110.14
Banknifty,04-04-2000,0:00:00,1026.65,1026.65,1026.65,1026.65
Banknifty,05-04-2000,0:00:00,1000.84,1000.84,1000.84,1000.84
Banknifty,06-04-2000,0:00:00,989.2,989.2,989.2,989.2
Banknifty,07-04-2000,0:00:00,1048.75,1048.75,1048.75,1048.75
Banknifty,10-04-2000,0:00:00,1087.71,1087.71,1087.71,1087.71
Banknifty,11-04-2000,0:00:00,1105.19,1105.19,1105.19,1105.19
Banknifty,12-04-2000,0:00:00,1097.08,1097.08,1097.08,1097.08
Banknifty,13-04-2000,0:00:00,1056.89,1056.89,1056.89,1056.89
Banknifty,17-04-2000,0:00:00,1003.89,1003.89,1003.89,1003.89
Banknifty,18-04-2000,0:00:00,1031.28,1031.28,1031.28,1031.28
Banknifty,19-04-2000,0:00:00,1029.46,1029.46,1029.46,1029.46
Banknifty,20-04-2000,0:00:00,1026.08,1026.08,1026.08,1026.08
Banknifty,24-04-2000,0:00:00,1009.29,1009.29,1009.29,1009.29
Banknifty,25-04-2000,0:00:00,1015.7,1015.7,1015.7,1015.7
Banknifty,26-04-2000,0:00:00,1067.57,1067.57,1067.57,1067.57
Banknifty,27-04-2000,0:00:00,1050.72,1050.72,1050.72,1050.72
Banknifty,28-04-2000,0:00:00,1056.2,1056.2,1056.2,1056.2
Banknifty,02-05-2000,0:00:00,1021.98,1021.98,1021.98,1021.98
Banknifty,03-05-2000,0:00:00,1020.9,1020.9,1020.9,1020.9
Banknifty,04-05-2000,0:00:00,1030.91,1030.91,1030.91,1030.91
Banknifty,05-05-2000,0:00:00,1040.91,1040.91,1040.91,1040.91
Banknifty,08-05-2000,0:00:00,1031.08,1031.08,1031.08,1031.08
Banknifty,09-05-2000,0:00:00,1032.5,1032.5,1032.5,1032.5
Banknifty,10-05-2000,0:00:00,1027.99,1027.99,1027.99,1027.99
Banknifty,11-05-2000,0:00:00,1012.45,1012.45,1012.45,1012.45
Banknifty,12-05-2000,0:00:00,995.67,995.67,995.67,995.67
Banknifty,15-05-2000,0:00:00,993.35,993.35,993.35,993.35
Banknifty,16-05-2000,0:00:00,989.61,989.61,989.61,989.61
Banknifty,17-05-2000,0:00:00,999.4,999.4,999.4,999.4
Banknifty,18-05-2000,0:00:00,984.62,984.62,984.62,984.62
Banknifty,19-05-2000,0:00:00,988.26,988.26,988.26,988.26
Banknifty,22-05-2000,0:00:00,966.01,966.01,966.01,966.01
Banknifty,23-05-2000,0:00:00,948.48,948.48,948.48,948.48
Banknifty,24-05-2000,0:00:00,950.96,950.96,950.96,950.96
Banknifty,25-05-2000,0:00:00,950.97,950.97,950.97,950.97
Banknifty,26-05-2000,0:00:00,953.86,953.86,953.86,953.86
Banknifty,29-05-2000,0:00:00,966.83,966.83,966.83,966.83
Banknifty,30-05-2000,0:00:00,986.64,986.64,986.64,986.64
Banknifty,31-05-2000,0:00:00,1001.24,1001.24,1001.24,1001.24
Banknifty,01-06-2000,0:00:00,985.93,985.93,985.93,985.93
Banknifty,02-06-2000,0:00:00,1007.95,1007.95,1007.95,1007.95
Banknifty,05-06-2000,0:00:00,1034.98,1034.98,1034.98,1034.98
Banknifty,06-06-2000,0:00:00,1034.29,1034.29,1034.29,1034.29
Banknifty,07-06-2000,0:00:00,1029.53,1029.53,1029.53,1029.53
Banknifty,08-06-2000,0:00:00,1064.58,1064.58,1064.58,1064.58
Banknifty,09-06-2000,0:00:00,1070.22,1070.22,1070.22,1070.22
Banknifty,12-06-2000,0:00:00,1052.44,1052.44,1052.44,1052.44
Banknifty,13-06-2000,0:00:00,1059.56,1059.56,1059.56,1059.56
Banknifty,14-06-2000,0:00:00,1066.28,1066.28,1066.28,1066.28
Banknifty,15-06-2000,0:00:00,1071.6,1071.6,1071.6,1071.6
Banknifty,16-06-2000,0:00:00,1098,1098,1098,1098
Banknifty,19-06-2000,0:00:00,1087.05,1087.05,1087.05,1087.05
Banknifty,20-06-2000,0:00:00,1110.22,1110.22,1110.22,1110.22
Banknifty,21-06-2000,0:00:00,1090.32,1090.32,1090.32,1090.32
Banknifty,22-06-2000,0:00:00,1106.11,1106.11,1106.11,1106.11
Banknifty,23-06-2000,0:00:00,1120.48,1120.48,1120.48,1120.48
Banknifty,26-06-2000,0:00:00,1084.38,1084.38,1084.38,1084.38
Banknifty,27-06-2000,0:00:00,1083.33,1083.33,1083.33,1083.33
Banknifty,28-06-2000,0:00:00,1085.73,1085.73,1085.73,1085.73
Banknifty,29-06-2000,0:00:00,1093.55,1093.55,1093.55,1093.55
Banknifty,30-06-2000,0:00:00,1087.18,1087.18,1087.18,1087.18
Banknifty,03-07-2000,0:00:00,1119.29,1119.29,1119.29,1119.29
Banknifty,04-07-2000,0:00:00,1135.06,1135.06,1135.06,1135.06
Banknifty,05-07-2000,0:00:00,1133.6,1133.6,1133.6,1133.6
Banknifty,06-07-2000,0:00:00,1123.2,1123.2,1123.2,1123.2
Banknifty,07-07-2000,0:00:00,1130.06,1130.06,1130.06,1130.06
Banknifty,10-07-2000,0:00:00,1110.67,1110.67,1110.67,1110.67
Banknifty,11-07-2000,0:00:00,1116.83,1116.83,1116.83,1116.83
Banknifty,12-07-2000,0:00:00,1108.72,1108.72,1108.72,1108.72
Banknifty,13-07-2000,0:00:00,1101.88,1101.88,1101.88,1101.88
Banknifty,14-07-2000,0:00:00,1095.1,1095.1,1095.1,1095.1
Banknifty,17-07-2000,0:00:00,1081.53,1081.53,1081.53,1081.53
Banknifty,18-07-2000,0:00:00,1090.71,1090.71,1090.71,1090.71
Banknifty,19-07-2000,0:00:00,1074.88,1074.88,1074.88,1074.88
Banknifty,20-07-2000,0:00:00,1053.89,1053.89,1053.89,1053.89
Banknifty,21-07-2000,0:00:00,1046.92,1046.92,1046.92,1046.92
Banknifty,24-07-2000,0:00:00,983.99,983.99,983.99,983.99
Banknifty,25-07-2000,0:00:00,1010.99,1010.99,1010.99,1010.99
Banknifty,26-07-2000,0:00:00,994.13,994.13,994.13,994.13
Banknifty,27-07-2000,0:00:00,999.76,999.76,999.76,999.76
Banknifty,28-07-2000,0:00:00,1002.71,1002.71,1002.71,1002.71
Banknifty,31-07-2000,0:00:00,993.58,993.58,993.58,993.58
Banknifty,01-08-2000,0:00:00,979.73,979.73,979.73,979.73
Banknifty,02-08-2000,0:00:00,986.53,986.53,986.53,986.53
