Instrument,Date,Time,Open,High,Low,Close
Banknifty,09-01-2015,9:15:00,18845.9,18864,18758.5,18781.15
Banknifty,09-01-2015,10:15:00,18781.15,18807.1,18745.6,18779.35
Banknifty,09-01-2015,11:15:00,18779.35,18783.7,18570.85,18616.35
Banknifty,09-01-2015,12:15:00,18616.35,18653.3,18517.25,18565.95
Banknifty,09-01-2015,13:15:00,18569.4,18606.1,18479.65,18514.15
Banknifty,09-01-2015,14:15:00,18514.15,18678.35,18490.6,18663.05
Banknifty,09-01-2015,15:15:00,18663.05,18663.05,18582.9,18598.05
Banknifty,12-01-2015,9:15:00,18632,18755.75,18530.1,18748.15
Banknifty,12-01-2015,10:15:00,18748.15,18787.7,18701.7,18725.8
Banknifty,12-01-2015,11:15:00,18725.8,18747.6,18673.05,18685.75
Banknifty,12-01-2015,12:15:00,18684.25,18695.6,18629.3,18685.05
Banknifty,12-01-2015,13:15:00,18687.5,18757,18670.3,18738.8
Banknifty,12-01-2015,14:15:00,18738.2,18817.3,18730.8,18782.2
Banknifty,12-01-2015,15:15:00,18782.2,18822.05,18778.5,18808.75
Banknifty,13-01-2015,9:15:00,18889,18909.05,18815.8,18889.9
Banknifty,13-01-2015,10:15:00,18889.9,18920.65,18856.35,18862.9
Banknifty,13-01-2015,11:15:00,18860.4,18867.9,18813.8,18844.9
Banknifty,13-01-2015,12:15:00,18844.9,18856.55,18801.75,18856.55
Banknifty,13-01-2015,13:15:00,18856.5,18917.05,18843.2,18843.45
Banknifty,13-01-2015,14:15:00,18843.45,18851.3,18642.8,18715.1
Banknifty,13-01-2015,15:15:00,18715.1,18728.7,18701.55,18724.75
Banknifty,14-01-2015,9:15:00,18670.4,18769.65,18621.75,18680.4
Banknifty,14-01-2015,10:15:00,18684.65,18729.9,18659.95,18669
Banknifty,14-01-2015,11:15:00,18670.6,18681.3,18595.5,18600.85
Banknifty,14-01-2015,12:15:00,18600.85,18604.5,18517.9,18546.45
Banknifty,14-01-2015,13:15:00,18553.75,18660.2,18526.25,18627.9
Banknifty,14-01-2015,14:15:00,18624.4,18677.5,18547.95,18588
Banknifty,14-01-2015,15:15:00,18588.4,18638.25,18579.85,18636.85
Banknifty,15-01-2015,9:15:00,19340.45,19410.4,19061.35,19084.15
Banknifty,15-01-2015,10:15:00,19084.15,19200.15,19069.1,19188.55
Banknifty,15-01-2015,11:15:00,19188.55,19250.55,19173.05,19185.75
Banknifty,15-01-2015,12:15:00,19185.75,19258.6,19164.7,19234.2
Banknifty,15-01-2015,13:15:00,19239.55,19275.85,19221.4,19262.15
Banknifty,15-01-2015,14:15:00,19261.25,19318.8,19240,19299.25
Banknifty,15-01-2015,15:15:00,19302.3,19302.6,19132.05,19134.65
Banknifty,19-01-2015,9:15:00,19384.2,19434.2,19357.1,19423.75
Banknifty,19-01-2015,10:15:00,19423.75,19431.55,19393.35,19426.4
Banknifty,19-01-2015,11:15:00,19426.4,19430.4,19367.35,19390.2
Banknifty,19-01-2015,12:15:00,19390.2,19404.2,19332.7,19395.9
Banknifty,19-01-2015,13:15:00,19395.9,19429.8,19382.05,19415.25
Banknifty,19-01-2015,14:15:00,19415.25,19428.65,19370.4,19410.7
Banknifty,19-01-2015,15:15:00,19410.7,19413.1,19397.1,19401.45
Banknifty,20-01-2015,9:15:00,19446.8,19575.15,19446.8,19571.55
Banknifty,20-01-2015,10:15:00,19571.55,19577.85,19546.65,19549.35
Banknifty,20-01-2015,11:15:00,19539.5,19556.8,19520.4,19546.5
Banknifty,20-01-2015,12:15:00,19546.5,19614.3,19544.3,19584.5
Banknifty,20-01-2015,13:15:00,19584.5,19649,19551.7,19640.3
Banknifty,20-01-2015,14:15:00,19648,19808.25,19645.8,19743
Banknifty,20-01-2015,15:15:00,19743,19784.55,19738.45,19761.1
Banknifty,21-01-2015,9:15:00,19811.85,19964.95,19803.15,19893.9
Banknifty,21-01-2015,10:15:00,19896.85,19957.15,19839.85,19874.7
Banknifty,21-01-2015,11:15:00,19874.7,19902.1,19846.5,19870.95
Banknifty,21-01-2015,12:15:00,19872.15,19875.65,19827.9,19872.2
Banknifty,21-01-2015,13:15:00,19872.2,19885.35,19837.25,19844.8
Banknifty,21-01-2015,14:15:00,19845.35,19885.95,19810.4,19854.1
Banknifty,21-01-2015,15:15:00,19854.1,19854.1,19817.75,19819.9
Banknifty,22-01-2015,9:15:00,19898.5,19898.5,19788.7,19868.4
Banknifty,22-01-2015,10:15:00,19866.4,19937,19856.95,19890.55
Banknifty,22-01-2015,11:15:00,19890.55,19939.9,19881.25,19911.85
Banknifty,22-01-2015,12:15:00,19916.25,19923.5,19848.8,19866.6
Banknifty,22-01-2015,13:15:00,19866.6,19896.55,19816.75,19826
Banknifty,22-01-2015,14:15:00,19825.2,19915.25,19811.6,19901.1
Banknifty,22-01-2015,15:15:00,19901.15,19964.25,19896.05,19931.65
Banknifty,23-01-2015,9:15:00,20133.85,20167.65,20083.15,20083.15
Banknifty,23-01-2015,10:15:00,20083.15,20083.15,19967.35,20053.9
Banknifty,23-01-2015,11:15:00,20053.9,20063.15,20016.25,20049.65
Banknifty,23-01-2015,12:15:00,20049.65,20118,20045,20110.65
Banknifty,23-01-2015,13:15:00,20110.7,20126.05,20048.75,20103.4
Banknifty,23-01-2015,14:15:00,20103.4,20126.05,20068.4,20077.25
Banknifty,23-01-2015,15:15:00,20077.25,20077.25,20033.15,20051.8
Banknifty,27-01-2015,9:15:00,20179.8,20210.65,20098.25,20188.85
Banknifty,27-01-2015,10:15:00,20189.9,20239.3,20187.3,20227.75
Banknifty,27-01-2015,11:15:00,20227.75,20260.35,20174.7,20204
Banknifty,27-01-2015,12:15:00,20204,20246.35,20195.75,20242.35
Banknifty,27-01-2015,13:15:00,20241.7,20265.3,20215.8,20261.85
Banknifty,27-01-2015,14:15:00,20261.85,20609.25,20261.85,20588.05
Banknifty,27-01-2015,15:15:00,20588.05,20591.05,20531.4,20544.25
Banknifty,28-01-2015,9:15:00,20507.5,20586.2,20477.25,20561.5
Banknifty,28-01-2015,10:15:00,20561.65,20617.95,20508.85,20614.9
Banknifty,28-01-2015,11:15:00,20615.85,20764.15,20613.8,20745.85
Banknifty,28-01-2015,12:15:00,20747.65,20907.55,20603.1,20659.15
Banknifty,28-01-2015,13:15:00,20660.5,20661.45,20458.35,20544.35
Banknifty,28-01-2015,14:15:00,20544.35,20552.65,20435,20507.6
Banknifty,28-01-2015,15:15:00,20507.6,20509.55,20449.8,20468.1
Banknifty,29-01-2015,9:15:00,20475.7,20475.7,20338.95,20400.65
Banknifty,29-01-2015,10:15:00,20400.65,20472.35,20400.65,20412.35
Banknifty,29-01-2015,11:15:00,20412.35,20474.8,20388.25,20462.35
Banknifty,29-01-2015,12:15:00,20454.85,20458,20365.55,20380.5
Banknifty,29-01-2015,13:15:00,20380.5,20454,20374.65,20396.2
Banknifty,29-01-2015,14:15:00,20396.2,20579,20360.85,20531.75
Banknifty,29-01-2015,15:15:00,20531.9,20533.7,20497,20512.8
Banknifty,30-01-2015,9:15:00,20600.65,20600.65,20410.55,20467.1
Banknifty,30-01-2015,10:15:00,20468.25,20493.7,20232.6,20261.2
Banknifty,30-01-2015,11:15:00,20261.2,20261.2,19982.6,20011.2
Banknifty,30-01-2015,12:15:00,20011.2,20106.2,20009.6,20078.7
Banknifty,30-01-2015,13:15:00,20076.05,20095.45,19825.6,19827.55
Banknifty,30-01-2015,14:15:00,19827.55,19883.2,19732.45,19845.25
Banknifty,30-01-2015,15:15:00,19845.25,19854.8,19805.4,19835.65
Banknifty,02-02-2015,9:15:00,19778.95,19778.95,19594.65,19635.2
Banknifty,02-02-2015,10:15:00,19639.5,19708.3,19600.25,19660.45
Banknifty,02-02-2015,11:15:00,19657.1,19689.4,19564.5,19609.95
Banknifty,02-02-2015,12:15:00,19609.95,19625.75,19575.8,19611.8
Banknifty,02-02-2015,13:15:00,19607.9,19991.4,19601.6,19948.65
Banknifty,02-02-2015,14:15:00,19948.65,19957.2,19776.25,19855.65
Banknifty,02-02-2015,15:15:00,19853.95,19913.8,19838.3,19902.9
Banknifty,03-02-2015,9:15:00,19941.7,19963.7,19798.55,19806.65
Banknifty,03-02-2015,10:15:00,19806.65,19922.5,19642.15,19918.05
Banknifty,03-02-2015,11:15:00,19915.55,19915.55,19442,19482.5
Banknifty,03-02-2015,12:15:00,19482.5,19510.3,19384.25,19394.3
Banknifty,03-02-2015,13:15:00,19394.3,19514.1,19375,19456.8
Banknifty,03-02-2015,14:15:00,19456.8,19539,19400.55,19414.25
Banknifty,03-02-2015,15:15:00,19414.25,19414.25,19303.5,19329.95
Banknifty,04-02-2015,9:15:00,19423.25,19423.25,19133.55,19156.45
Banknifty,04-02-2015,10:15:00,19156.45,19305.7,19113.35,19234.15
Banknifty,04-02-2015,11:15:00,19234.15,19306.3,19222.8,19223.9
Banknifty,04-02-2015,12:15:00,19223.9,19356.35,19178.1,19328.4
Banknifty,04-02-2015,13:15:00,19328.4,19340.25,19248.65,19295.3
Banknifty,04-02-2015,14:15:00,19293.2,19346.85,19182.75,19185.55
Banknifty,04-02-2015,15:15:00,19185.55,19185.8,19117.5,19157.05
Banknifty,05-02-2015,9:15:00,19170.15,19306.75,19102.95,19276.35
Banknifty,05-02-2015,10:15:00,19276.35,19307.65,19149.75,19211.45
Banknifty,05-02-2015,11:15:00,19210.4,19257.05,19186,19218.65
Banknifty,05-02-2015,12:15:00,19216.75,19272.45,19214.95,19272.45
Banknifty,05-02-2015,13:15:00,19272.45,19444.65,19262.8,19407.45
Banknifty,05-02-2015,14:15:00,19404.5,19422.55,18990.35,19049.25
Banknifty,05-02-2015,15:15:00,19049.25,19056.65,18977.9,19047.85
Banknifty,06-02-2015,9:15:00,19066.25,19119.7,18821.45,18827.4
Banknifty,06-02-2015,10:15:00,18827.4,18865.95,18740.35,18841.2
Banknifty,06-02-2015,11:15:00,18841.2,19007.1,18811.25,18941
Banknifty,06-02-2015,12:15:00,18941,19027.6,18888.5,18920.5
Banknifty,06-02-2015,13:15:00,18920.5,18976.5,18876.2,18949.1
Banknifty,06-02-2015,14:15:00,18949.1,18949.1,18751.45,18774.6
Banknifty,06-02-2015,15:15:00,18774.6,18806.7,18744.1,18788.3
Banknifty,09-02-2015,9:15:00,18650,18650.6,18499.3,18543.5
